ID,Category_x,Reclassified_Category
691,Other,Artificial Intelligence / Machine Learning
692,Other,Artificial Intelligence / Machine Learning
693,Other,Other
694,Other,Artificial Intelligence / Machine Learning
695,Other,Artificial Intelligence / Machine Learning
696,Other,Other
697,Other,Artificial Intelligence / Machine Learning
699,Other,Artificial Intelligence / Machine Learning
700,Other,Other
701,Other,Artificial Intelligence / Machine Learning
702,Other,Artificial Intelligence / Machine Learning
703,Other,Other
704,Other,Other
705,Other,Networking
707,Other,Cyber Security
708,Other,Artificial Intelligence / Machine Learning
709,Other,Artificial Intelligence / Machine Learning
710,Other,Web Development
711,Other,Artificial Intelligence / Machine Learning
712,Other,Other
713,Other,Artificial Intelligence / Machine Learning
714,Other,Other
715,Other,Artificial Intelligence / Machine Learning
716,Other,Networking
717,Other,Artificial Intelligence / Machine Learning
719,Other,Other
720,Other,Artificial Intelligence / Machine Learning
722,Other,Other
723,Other,Networking
724,Other,Artificial Intelligence / Machine Learning
725,Other,Other
726,Other,Other
727,Other,Artificial Intelligence / Machine Learning
728,Other,Other
730,Other,Artificial Intelligence / Machine Learning
731,Other,Other
732,Other,Networking
734,Other,Other
735,Other,Artificial Intelligence / Machine Learning
736,Other,Other
737,Other,Artificial Intelligence / Machine Learning
739,Other,Artificial Intelligence / Machine Learning
740,Other,Artificial Intelligence / Machine Learning
742,Other,Artificial Intelligence / Machine Learning
743,Other,Artificial Intelligence / Machine Learning
744,Other,Artificial Intelligence / Machine Learning
745,Other,Artificial Intelligence / Machine Learning
746,Other,Artificial Intelligence / Machine Learning
747,Other,Artificial Intelligence / Machine Learning
748,Other,Artificial Intelligence / Machine Learning
750,Other,Artificial Intelligence / Machine Learning
751,Other,Other
752,Other,Other
753,Other,Artificial Intelligence / Machine Learning
754,Other,Artificial Intelligence / Machine Learning
755,Other,Other
756,Other,Other
758,Other,Artificial Intelligence / Machine Learning
759,Other,Web Development
760,Other,Other
761,Other,Artificial Intelligence / Machine Learning
762,Other,Artificial Intelligence / Machine Learning
763,Other,Networking
764,Other,Other
766,Other,Other
767,Other,Artificial Intelligence / Machine Learning
768,Other,Artificial Intelligence / Machine Learning
769,Other,Artificial Intelligence / Machine Learning
771,Other,Artificial Intelligence / Machine Learning
772,Other,Artificial Intelligence / Machine Learning
773,Other,Other
774,Other,Other
775,Other,Software Engineering
776,Other,Artificial Intelligence / Machine Learning
777,Other,Other
778,Other,Artificial Intelligence / Machine Learning
779,Other,Artificial Intelligence / Machine Learning
780,Other,Other
781,Other,Artificial Intelligence / Machine Learning
782,Other,Web Development
783,Other,Artificial Intelligence / Machine Learning
784,Other,Artificial Intelligence / Machine Learning
785,Other,Artificial Intelligence / Machine Learning
786,Other,Other
787,Other,Artificial Intelligence / Machine Learning
788,Other,Other
790,Other,Networking
791,Other,Other
792,Other,Artificial Intelligence / Machine Learning
794,Other,Other
795,Other,Other
796,Other,Other
797,Other,Other
798,Other,Artificial Intelligence / Machine Learning
800,Other,Networking
801,Other,Other
802,Other,Other
803,Other,Other
804,Other,Web Development
805,Other,Artificial Intelligence / Machine Learning
806,Other,Other
807,Other,Artificial Intelligence / Machine Learning
808,Other,Artificial Intelligence / Machine Learning
809,Other,Artificial Intelligence / Machine Learning
810,Other,Artificial Intelligence / Machine Learning
811,Other,Networking
812,Other,Artificial Intelligence / Machine Learning
813,Other,Web Development
814,Other,Other
815,Other,Artificial Intelligence / Machine Learning
816,Other,Artificial Intelligence / Machine Learning
817,Other,Artificial Intelligence / Machine Learning
818,Other,Artificial Intelligence / Machine Learning
819,Other,Artificial Intelligence / Machine Learning
820,Other,Other
821,Other,Networking
822,Other,Other
823,Other,Artificial Intelligence / Machine Learning
824,Other,Other
825,Other,Artificial Intelligence / Machine Learning
826,Other,Artificial Intelligence / Machine Learning
827,Other,Other
829,Other,Artificial Intelligence / Machine Learning
830,Other,Artificial Intelligence / Machine Learning
831,Other,Artificial Intelligence / Machine Learning
832,Other,Artificial Intelligence / Machine Learning
833,Other,Other
834,Other,Artificial Intelligence / Machine Learning
835,Other,Networking
836,Other,Other
837,Other,Networking
838,Other,Software Engineering
839,Other,Other
840,Other,Artificial Intelligence / Machine Learning
842,Other,Artificial Intelligence / Machine Learning
843,Other,Other
844,Other,Artificial Intelligence / Machine Learning
845,Other,Other
846,Other,Other
847,Other,Artificial Intelligence / Machine Learning
848,Other,Networking
849,Other,Other
850,Other,Artificial Intelligence / Machine Learning
851,Other,Artificial Intelligence / Machine Learning
852,Other,Artificial Intelligence / Machine Learning
853,Other,Artificial Intelligence / Machine Learning
854,Other,Artificial Intelligence / Machine Learning
855,Other,Artificial Intelligence / Machine Learning
856,Other,Artificial Intelligence / Machine Learning
857,Other,Other
860,Other,Other
861,Other,Artificial Intelligence / Machine Learning
862,Other,Artificial Intelligence / Machine Learning
863,Other,Artificial Intelligence / Machine Learning
864,Other,Other
865,Other,Other
866,Other,Artificial Intelligence / Machine Learning
867,Other,Artificial Intelligence / Machine Learning
868,Other,Other
869,Other,Other
870,Other,Artificial Intelligence / Machine Learning
871,Other,Artificial Intelligence / Machine Learning
872,Other,Artificial Intelligence / Machine Learning
873,Other,Other
874,Other,Artificial Intelligence / Machine Learning
875,Other,Artificial Intelligence / Machine Learning
876,Other,Artificial Intelligence / Machine Learning
877,Other,Artificial Intelligence / Machine Learning
878,Other,Other
879,Other,Artificial Intelligence / Machine Learning
880,Other,Artificial Intelligence / Machine Learning
881,Other,Other
882,Other,Other
883,Other,Other
884,Other,Artificial Intelligence / Machine Learning
885,Other,Networking
886,Other,Artificial Intelligence / Machine Learning
888,Other,Artificial Intelligence / Machine Learning
889,Other,Artificial Intelligence / Machine Learning
890,Other,Artificial Intelligence / Machine Learning
891,Other,Artificial Intelligence / Machine Learning
892,Other,Artificial Intelligence / Machine Learning
894,Other,Artificial Intelligence / Machine Learning
895,Other,Artificial Intelligence / Machine Learning
896,Other,Artificial Intelligence / Machine Learning
897,Other,Networking
898,Other,Artificial Intelligence / Machine Learning
899,Other,Artificial Intelligence / Machine Learning
904,Other,Other
910,Other,Other
911,Other,Other
912,Other,Other
913,Other,Other
914,Other,Artificial Intelligence / Machine Learning
915,Other,Networking
916,Other,Artificial Intelligence / Machine Learning
918,Other,Artificial Intelligence / Machine Learning
920,Other,Artificial Intelligence / Machine Learning
921,Other,Other
922,Other,Other
923,Other,Artificial Intelligence / Machine Learning
924,Other,Other
926,Other,Artificial Intelligence / Machine Learning
927,Other,Artificial Intelligence / Machine Learning
928,Other,Other
929,Other,Other
930,Other,Networking
931,Other,Artificial Intelligence / Machine Learning
932,Other,Artificial Intelligence / Machine Learning
933,Other,Other
934,Other,Artificial Intelligence / Machine Learning
935,Other,Web Development
936,Other,Other
937,Other,Artificial Intelligence / Machine Learning
938,Other,Artificial Intelligence / Machine Learning
939,Other,Artificial Intelligence / Machine Learning
940,Other,Other
941,Other,Artificial Intelligence / Machine Learning
942,Other,Artificial Intelligence / Machine Learning
943,Other,Other
944,Other,Artificial Intelligence / Machine Learning
947,Other,Networking
948,Other,Networking
949,Other,Artificial Intelligence / Machine Learning
950,Other,Other
951,Other,Other
952,Other,Artificial Intelligence / Machine Learning
953,Other,Artificial Intelligence / Machine Learning
954,Other,Software Engineering
955,Other,Artificial Intelligence / Machine Learning
956,Other,Artificial Intelligence / Machine Learning
957,Other,Artificial Intelligence / Machine Learning
958,Other,Networking
959,Other,Other
960,Other,Artificial Intelligence / Machine Learning
961,Other,Other
962,Other,Artificial Intelligence / Machine Learning
963,Other,Artificial Intelligence / Machine Learning
964,Other,Artificial Intelligence / Machine Learning
965,Other,Artificial Intelligence / Machine Learning
966,Other,Artificial Intelligence / Machine Learning
967,Other,Artificial Intelligence / Machine Learning
968,Other,Networking
969,Other,Artificial Intelligence / Machine Learning
970,Other,Artificial Intelligence / Machine Learning
971,Other,Artificial Intelligence / Machine Learning
972,Other,Artificial Intelligence / Machine Learning
973,Other,Artificial Intelligence / Machine Learning
974,Other,Artificial Intelligence / Machine Learning
976,Other,Networking
977,Other,Artificial Intelligence / Machine Learning
978,Other,Other
980,Other,Artificial Intelligence / Machine Learning
981,Other,Web Development
982,Other,Artificial Intelligence / Machine Learning
983,Other,Networking
984,Other,Artificial Intelligence / Machine Learning
985,Other,Artificial Intelligence / Machine Learning
987,Other,Artificial Intelligence / Machine Learning
988,Other,Other
989,Other,Artificial Intelligence / Machine Learning
